iter	Logloss
0	0.5988182689
1	0.5235676023
2	0.4466609238
3	0.4042314032
4	0.362764226
5	0.3276314201
6	0.3057955184
7	0.2863207985
8	0.266713929
9	0.2535087932
10	0.235639
11	0.2218297256
12	0.2122229889
13	0.2062937966
14	0.1978085722
15	0.1916124622
16	0.1880702819
17	0.1843254817
18	0.1783588178
19	0.1743084092
20	0.170912487
21	0.1679786162
22	0.1652992305
23	0.1614182396
24	0.1593602154
25	0.1556652433
26	0.1538581211
27	0.1520118652
28	0.1504193421
29	0.1465668292
30	0.1442276661
31	0.1429936496
32	0.1421404737
33	0.1411102928
34	0.1402197327
35	0.1378854181
36	0.1370395611
37	0.1362687231
38	0.1356495344
39	0.1348318622
40	0.1339445513
41	0.1328782232
42	0.130836473
43	0.1300288107
44	0.1294494466
45	0.1282090573
46	0.127608681
47	0.127077806
48	0.1265965556
49	0.1259919205
50	0.1255121334
51	0.1249856064
52	0.1224820597
53	0.1220061361
54	0.1208240007
55	0.1204477183
56	0.120174869
57	0.1189591379
58	0.1180153781
59	0.1176515907
60	0.11707458
61	0.1156721048
62	0.1152351503
63	0.114812355
64	0.1143249134
65	0.1140026387
66	0.1132897281
67	0.1128571
68	0.1124374737
69	0.1120758154
70	0.1117648482
71	0.1111794129
72	0.1109438401
73	0.1106387653
74	0.1101507769
75	0.1097829465
76	0.1095438894
77	0.1088539937
78	0.1084301602
79	0.1080711926
80	0.1077433322
81	0.1075373579
82	0.1072483774
83	0.1067610283
84	0.1065086907
85	0.1062189707
86	0.1058285605
87	0.1054967219
88	0.1053218324
89	0.1050506078
90	0.1047923694
91	0.1045375262
92	0.1043040207
93	0.1040544937
94	0.1032877152
95	0.1027462337
96	0.1022282578
97	0.1020530714
98	0.1017388128
99	0.1013110306
100	0.1011527784
101	0.1009614039
102	0.1006575313
103	0.1003756136
104	0.1001676842
105	0.1000064149
106	0.09968857969
107	0.09938235028
108	0.09922990137
109	0.09904131539
110	0.09890489728
111	0.09879244036
112	0.09871725362
113	0.09845629433
114	0.09831763376
115	0.09816232466
116	0.09806022357
117	0.09778435674
118	0.09769509749
119	0.09734585881
120	0.09716780464
121	0.09705961216
122	0.09696499612
123	0.0968451897
124	0.0964933729
125	0.09635683273
126	0.09614313462
127	0.09578744103
128	0.09532922265
129	0.0951817474
130	0.09503206415
131	0.09489225827
132	0.09480746209
133	0.09450007027
134	0.09421119099
135	0.0940492291
136	0.09389024897
137	0.09377805844
138	0.09359145964
139	0.09337735307
140	0.09302949439
141	0.09271986432
142	0.09256659522
143	0.09239791812
144	0.09227796034
145	0.09222219721
146	0.09217997038
147	0.09203838663
148	0.09192979537
149	0.09173498852
150	0.09167045612
151	0.09146290426
152	0.091346383
153	0.09125435476
154	0.09109987922
155	0.0909594881
156	0.09089549588
157	0.090750765
158	0.09063470862
159	0.09042379559
160	0.09034624432
161	0.09011960242
162	0.09004804232
163	0.08991845224
164	0.08982081096
165	0.08973475441
166	0.08965487656
167	0.08959234626
168	0.08950171919
169	0.0894393202
170	0.08934230342
171	0.08920140728
172	0.08914295406
173	0.08900021912
174	0.08879250405
175	0.08864342172
176	0.08856185875
177	0.08845847952
178	0.08838996068
179	0.08830877528
180	0.08824898009
181	0.08812254587
182	0.08802883614
183	0.08793303029
184	0.08771677635
185	0.08763316272
186	0.08758853698
187	0.0875211978
188	0.08741735227
189	0.08734485506
190	0.0872394858
191	0.08718690537
192	0.08710483721
193	0.0867448921
194	0.08663203101
195	0.08648444923
196	0.08640365956
197	0.08634644478
198	0.08629149667
199	0.08621007015
200	0.086130755
201	0.0860384961
202	0.08588636628
203	0.0858370937
204	0.0857494011
205	0.08563312923
206	0.08557579705
207	0.08553485809
208	0.08546842759
209	0.08538060033
210	0.08532166626
211	0.08516054269
212	0.08507703522
213	0.08503935373
214	0.08480324921
215	0.08470129727
216	0.08462359776
217	0.08444736179
218	0.08439711311
219	0.08434822793
220	0.08423429414
221	0.08416410367
222	0.0840400435
223	0.08397191725
224	0.0839200987
225	0.08383502599
226	0.08381733244
227	0.08365560141
228	0.08354376882
229	0.08352783575
230	0.08349137922
231	0.08338767584
232	0.08332744068
233	0.08328473774
234	0.08320309089
235	0.08309469252
236	0.0830460645
237	0.08298041744
238	0.0827421566
239	0.08268395056
240	0.08258344798
241	0.08251157544
242	0.08247376418
243	0.08240065096
244	0.08237198492
245	0.08220852718
246	0.08216236649
247	0.0821111705
248	0.08203418605
249	0.08195908543
250	0.081903459
251	0.08175196737
252	0.08173230488
253	0.08168360471
254	0.08156209001
255	0.08146849341
256	0.08142127161
257	0.08136204787
258	0.08127112372
259	0.08117356636
260	0.08114902077
261	0.08102372493
262	0.08083538657
263	0.08072465006
264	0.08064512952
265	0.08059905799
266	0.08053812671
267	0.08049704194
268	0.08044717871
269	0.08040635486
270	0.08021588521
271	0.08014771807
272	0.0800706549
273	0.08001946779
274	0.07996424158
275	0.07989051882
276	0.07986116893
277	0.07975620998
278	0.07974988726
279	0.07970738809
280	0.07965464642
281	0.07959530396
282	0.07953976201
283	0.07948691067
284	0.07942096204
285	0.07938196664
286	0.07936131287
287	0.07926417464
288	0.07908053771
289	0.07905235801
290	0.07884343645
291	0.07881212871
292	0.07874465459
293	0.07868255601
294	0.07863159747
295	0.07858321287
296	0.0785435466
297	0.07851269322
298	0.0784537266
299	0.07828426149
300	0.07822891851
301	0.07817300977
302	0.07812074149
303	0.07803554127
304	0.07801095601
305	0.07799357768
306	0.07793115612
307	0.07786817753
308	0.07780359228
309	0.07777835722
310	0.07770695258
311	0.07768163274
312	0.07766981249
313	0.07764754049
314	0.07756375398
315	0.07750750512
316	0.07747413091
317	0.07747151436
318	0.07729588808
319	0.07722362851
320	0.07718242968
321	0.07714010998
322	0.07708221747
323	0.07706686591
324	0.07703731377
325	0.07698617235
326	0.07694945687
327	0.07689502653
328	0.07670422703
329	0.07665898204
330	0.07654313389
331	0.07649252439
332	0.07644895561
333	0.07641135092
334	0.07637045295
335	0.07634209971
336	0.07628304249
337	0.07625840995
338	0.07621742307
339	0.0761783508
340	0.07609469476
341	0.07605254264
342	0.076010738
343	0.0759760412
344	0.07593813089
345	0.0758867732
346	0.07587322962
347	0.07583838008
348	0.07583276763
349	0.07579598328
350	0.07574322867
351	0.07570887471
352	0.07566918423
353	0.07564536257
354	0.07562046987
355	0.07560467394
356	0.07556627463
357	0.07553233446
358	0.07552266178
359	0.07550219622
360	0.07546815777
361	0.0754310192
362	0.07540045447
363	0.07536042056
364	0.07534289968
365	0.07530401512
366	0.07529465941
367	0.07524803749
368	0.07517647503
369	0.07515142718
370	0.07512896825
371	0.07501563868
372	0.07497701724
373	0.07491373725
374	0.07486762002
375	0.07480445707
376	0.07473536497
377	0.07469735692
378	0.07467399357
379	0.07460713817
380	0.07455308263
381	0.07449902952
382	0.07448082646
383	0.07444598773
384	0.07441764178
385	0.07440603387
386	0.07438105932
387	0.07436712909
388	0.07433809851
389	0.07431455494
390	0.07423907258
391	0.07421874742
392	0.07411694734
393	0.07408258486
394	0.07406474712
395	0.07404099183
396	0.07399090879
397	0.0739372661
398	0.07385044561
399	0.07383994365
400	0.07380697854
401	0.07376375937
402	0.07369984192
403	0.07364835489
404	0.07362764055
405	0.07358663707
406	0.07354086994
407	0.07351108363
408	0.07348037947
409	0.07344654538
410	0.07338518874
411	0.07330703405
412	0.07329073939
413	0.07327335396
414	0.07324765415
415	0.07322250005
416	0.07318830905
417	0.07315342133
418	0.07311189
419	0.07307792722
420	0.07304599333
421	0.07301887335
422	0.07297117999
423	0.07291792361
424	0.07287459764
425	0.07278753047
426	0.07275471024
427	0.07269772072
428	0.07267883597
429	0.07260546906
430	0.07257136444
431	0.07253135138
432	0.07250388092
433	0.07246860191
434	0.07243240603
435	0.07238330568
436	0.07232999278
